# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1485317	art	3	3153	0	9	7.9	227606	2397	recent@bitcoin|top@bitcoin|recent@lightning	HOT,SIGNAL,SELF_POST_OPP	Direct Current - Lightning Paywalls ✅ (maybe?)
1485316	bitcoin	1	343	0	0	7.9	74100	9710	recent@bitcoin|top@bitcoin|recent@bitcoin_Mining	SIGNAL	ASIC Miner Profitability Calculator 2026 with Live Prices & ROI
1485293	meta	1	334	0	6	8.6	88718	43252	recent@meta|top@meta	SIGNAL	Ratio of lurkers to contributors to creators
1485379	bitcoin	1	282	0	0	6.6	593189	807	recent@bitcoin|top@bitcoin	SIGNAL	assuming we actually need a quantum softfork, should it be bundled with GSR?
1485434	bitcoin	1	189	0	21	5.6	927054	39	recent@bitcoin|top@bitcoin|recent@privacy	SIGNAL	Samourai Dev Asking for Help
1485298	bitcoin	1	188	0	2	8.4	1458171	135	recent@nostr|top@nostr	SIGNAL	It's all kicking off on Nostr
1485263	bitcoin	1	180	0	0	9.1	763366	8	recent@bitcoin|top@bitcoin	SIGNAL	Are we self-sovereign PKI yet?
1485290	meta	1	179	0	3	8.6	36151	1464	recent@meta|top@meta	SIGNAL	What are you working on this week?
1485188	bitcoin_Mining	1	144	0	0	11.0	263526	326	recent@bitcoin_Mining|top@bitcoin_Mining	SIGNAL	Build & Configure DATUM Gateway for Bitcoin Mining 2026 (on Ubuntu)
1484625	lightning	1	2244	0	1	33.4	280679	21197	recent@lightning	HOT	Post Quantum Lightning: Layer by Layer
1484762	Travel	3	1710	0	28	30.7	227606	2397	recent@bitcoin|recent@privacy	HOT	Hide a message in an emoji
1484557	AI	1	1700	0	7	35.7	51481	4005	recent@AI	HOT	Coinbase cuts headcount by 14% citing AI acceleration. The shares are gaining
1485002	AI	1	1430	0	8	20.3	74100	9710	recent@AI|top@AI	HOT	How a bill banning AI for kids could usher in widespread ID checks online
1484685	privacy	1	1355	0	7	32.4	74100	9710	recent@privacy	HOT	‘They protect the law while breaking it’: Inside Europol’s shadow IT system
1484624	AskSN	2	1338	0	5	33.5	227606	2397	recent@lightning	HOT,SELF_POST_OPP	LNDg P&L "Offchain Costs" question
1484597	bitcoin	1	1335	0	7	34.3	74100	9710	recent@bitcoin|recent@bitdevs	HOT	CVE-2024-52911 - Bitcoin Core Script Interpreter Remote Crash
1485097	bitcoin	1	1272	0	6	13.4	48942	1199	recent@bitcoin|top@bitcoin	HOT	Found an unarchived Bitcoin Logo by Satoshi Nakamoto on the Bitcoin Sourceforge
1484902	bitcoin	1	1123	0	2	26.0	7670	655	recent@bitcoin	HOT	nucula: Cashu ecash wallet for ESP32-C6 with NFC tap-to-pay
1484594	bitcoin	1	885	0	1	34.5	74100	9710	recent@bitcoin|recent@lightning		Simple Taproot Channels merged into BOLTs
1484980	bitcoin_Mining	1	781	0	5	22.1	1227948	155	recent@bitcoin_Mining|top@bitcoin_Mining		The Gold Standard of Waste
1484867	security	1	721	0	5	26.9	440139	4143	recent@security|recent@tech|recent@AI		Grok's crypto wallet was just exploited by a tweet sent in morse code
1484953	bitcoin	1	474	0	10	23.5	74100	9710	recent@bitcoin|top@bitcoin		Law of Code #200: Money Transmission & Developer Liability
1484765	AI	1	408	0	1	30.5	296825	4274	recent@AI		Google Chrome silently installs a 4 GB AI model on your device without consent.
1484974	security	1	399	0	0	22.8	297791	7490	recent@security|top@security		Critical cPanel Vulnerability Weaponized to Target Government and MSP Networks
1484572	AI	1	363	0	1	35.3	401865	8000	recent@AI		Microsoft, xAI and Google Will Share AI Models with US Govt for Security Reviews
1485080	AI	1	342	0	10	14.0	280679	21197	recent@AI|top@AI		Silicon Valley bets $200M on AI data centers floating in the ocean
1484882	tech	1	303	0	0	26.5	74100	9710	recent@devs|recent@tech		coco - A modular, TypeScript-first toolkit for building Cashu wallets and apps
1485079	bitcoin	1	289	0	15	14.1	166	36035	recent@bitcoin|top@bitcoin		Stop demanding more fiat from banks and their scammers
1484790	bitcoin	1	282	0	1	30.1	74100	9710	recent@bitcoin|recent@bitcoin_beginners		How to decode an arcade address (and a bitcoin address) - James Scaur
1485023	AI	1	228	0	0	18.4	140698	1040	recent@AI|top@AI		AI Graveyard — discontinued and acquired AI tools
1484851	lightning	1	177	0	2	28.3	263526	326	recent@lightning		Zap Browser — a browser that connects directly to your LND/CLN node via NWC
1484569	AI	1	166	0	1	35.4	9274	22160	recent@AI		🔙 Market’s ’90s flashback - Snacks
1484802	nostr	1	159	0	2	29.9	434498	61	recent@nostr		Orbee - your name, your people, your rules
1484615	AI	1	147	0	4	33.7	12393	439	recent@AI		AI will replace everything unless you upgrade your human capital
1485338	AI	1	90	0	0	7.4	280679	21197	recent@AI|top@AI		Google Gemma 4 open AI models use "speculative decoding" to get up to 3x faster
1485224	AI	1	90	0	0	10.2	458256	4592	recent@AI|top@AI		Meta will use AI analyzing height and bone structure to identify underage users.
1484715	bitcoin	1	80	0	1	31.9	280679	21197	recent@lightning		Buy/Sell Bitcoin Without Middleman
1485092	meta	1	78	0	0	13.6	36151	1464	recent@meta|top@meta		This Day on SN: May 6
1485451	bitcoin	1	76	0	9	5.3	1485433	10	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		Would you pay sats to defend your opinion? (Lightning-based forum)
1484607	AI	1	70	0	0	33.8	698001	9002	recent@AI		Now added no copyright Minecraft parkour to NFL news short
1485054	AI	1	69	0	0	15.8	5888	263	recent@AI|top@AI		AI Agents Are Becoming the New Automation Layer
1485433	bitcoin	1	57	0	8	5.6	1485433	10	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		Free speech is broken because it’s free
1485018	math	2	56	0	1	18.9	1248037	1658	recent@lightning|top@lightning		Onion Sinthome
1485605	bitcoin	1	36	0	0	0.1	1484314	5	recent@bitcoin_beginners|top@bitcoin_beginners	FRESH	Nothing changes if nothing changes
1484996	bitcoin_beginners	1	36	0	0	21.2	1248037	1658	recent@bitcoin_beginners|top@bitcoin_beginners		FOD #1
1484856	bitcoin_beginners	1	21	0	0	27.5	296825	4274	recent@bitcoin_beginners|recent@lightning		SatRank · Sovereign trust oracle for Lightning
1484667	lightning	1	21	0	1	32.7	699824	149	recent@lightning		🎥: Matteo Pellegrini (Club Orange) on Bitcoin IRL
1485248	AI	1	21	0	0	9.5	280679	21197	recent@devs|top@devs|recent@AI		Ruby inventor Matz working on native compiler with AI help
1484850	devs	1	21	0	0	28.4	140698	1040	recent@devs		Most Developers Have Never Built Anything Real — The Numbers Are Embarrassing
1485466	lightning	1	13	0	1	4.9	793757	116	recent@lightning|top@lightning		Pay With Any Crypto - But Merchant Receives Bitcoin Lightning
1485068	bitcoin_Mining	1	0	0	5	14.8	280679	21197	recent@bitcoin_Mining|top@bitcoin_Mining		Colombian president seeks to transform the Caribbean into bitcoin mining hub
1484585	security	1	0	0	0	34.8	280679	21197	recent@security		Google now offers up to $1.5 million for some Android exploits
1485235	AI	1	0	0	0	10.0	401865	8000	recent@AI|top@AI		Nvidia, Corning Partner on Massive Optical Fiber Deal A Game Changer for AI
1484947	AI	1	0	0	0	23.6	1093345	11	recent@AI|top@AI		AI is not killing our humanity. The system already did.- YouTube
