# id	sub	tier	score	bounty	ncom	ageH	op_since	op_nitems	hits	tags	title
1485317	art	3	1508	0	0	0.2	227606	2393	recent@bitcoin|top@bitcoin|recent@lightning	FRESH,HOT,SIGNAL	Direct Current - Lightning Paywalls ✅ (maybe?)
1484534	nostr	1	1514	0	0	28.7	126503	762	recent@nostr	HOT	Nostr Compress - High Performance Video Optimization
1484685	privacy	1	1355	0	7	24.7	74100	9693	recent@privacy	HOT	‘They protect the law while breaking it’: Inside Europol’s shadow IT system
1484624	AskSN	2	1338	0	5	25.8	227606	2393	recent@lightning	HOT,SELF_POST_OPP	LNDg P&L "Offchain Costs" question
1484597	bitcoin	1	1335	0	7	26.6	74100	9693	recent@bitcoin|recent@bitdevs	HOT	CVE-2024-52911 - Bitcoin Core Script Interpreter Remote Crash
1484902	bitcoin	1	1123	0	2	18.3	7670	655	recent@bitcoin|top@bitcoin	HOT	nucula: Cashu ecash wallet for ESP32-C6 with NFC tap-to-pay
1484594	bitcoin	1	885	0	1	26.8	74100	9693	recent@bitcoin|recent@lightning		Simple Taproot Channels merged into BOLTs
1484980	bitcoin_Mining	1	781	0	5	14.4	1227948	155	recent@bitcoin_Mining|top@bitcoin_Mining		The Gold Standard of Waste
1484867	security	1	721	0	5	19.2	440139	4139	recent@security|top@security|recent@tech		Grok's crypto wallet was just exploited by a tweet sent in morse code
1484953	bitcoin	1	474	0	7	15.8	74100	9693	recent@bitcoin|top@bitcoin		Law of Code #200: Money Transmission & Developer Liability
1485002	AI	1	409	0	7	12.5	74100	9693	recent@AI|top@AI		How a bill banning AI for kids could usher in widespread ID checks online
1484974	security	1	399	0	0	15.0	297791	7486	recent@security|top@security		Critical cPanel Vulnerability Weaponized to Target Government and MSP Networks
1484515	meta	1	384	0	5	29.3	51481	4005	recent@meta		Issues with LNURL Login
1484765	AI	1	366	0	1	22.8	296825	4274	recent@AI|top@AI		Google Chrome silently installs a 4 GB AI model on your device without consent.
1484572	AI	1	363	0	1	27.6	401865	7997	recent@AI		Microsoft, xAI and Google Will Share AI Models with US Govt for Security Reviews
1484882	tech	1	303	0	0	18.8	74100	9693	recent@devs|top@devs|recent@tech		coco - A modular, TypeScript-first toolkit for building Cashu wallets and apps
1484790	bitcoin	1	282	0	1	22.4	74100	9693	recent@bitcoin|top@bitcoin|recent@bitcoin_beginners		How to decode an arcade address (and a bitcoin address) - James Scaur
1484495	meta	1	219	0	0	29.9	36151	1464	recent@meta		This Day on SN: May 5
1484851	lightning	1	177	0	2	20.6	263526	326	recent@lightning|top@lightning		Zap Browser — a browser that connects directly to your LND/CLN node via NWC
1484569	AI	1	166	0	1	27.7	9274	22160	recent@AI		🔙 Market’s ’90s flashback - Snacks
1484802	nostr	1	159	0	2	22.2	434498	61	recent@nostr|top@nostr		Orbee - your name, your people, your rules
1484615	AI	1	126	0	4	26.0	12393	439	recent@AI		AI will replace everything unless you upgrade your human capital
1484715	bitcoin	1	80	0	1	24.2	280679	21189	recent@lightning		Buy/Sell Bitcoin Without Middleman
1485092	meta	1	78	0	0	5.9	36151	1464	recent@meta|top@meta		This Day on SN: May 6
1484607	AI	1	70	0	0	26.1	698001	9002	recent@AI		Now added no copyright Minecraft parkour to NFL news short
1485224	AI	1	69	0	0	2.5	458256	4592	recent@AI|top@AI		Meta will use AI analyzing height and bone structure to identify underage users.
1485054	AI	1	69	0	0	8.1	5888	263	recent@AI|top@AI		AI Agents Are Becoming the New Automation Layer
1485316	bitcoin	1	61	0	0	0.2	74100	9693	recent@bitcoin_Mining|top@bitcoin_Mining	FRESH	ASIC Miner Profitability Calculator 2026 with Live Prices & ROI
1485018	math	2	56	0	1	11.2	1248037	1657	recent@lightning|top@lightning		Onion Sinthome
1484996	bitcoin_beginners	1	36	0	0	13.5	1248037	1657	recent@bitcoin_beginners|top@bitcoin_beginners		FOD #1
1484856	bitcoin_beginners	1	21	0	0	19.8	296825	4274	recent@bitcoin_beginners|top@bitcoin_beginners|recent@lightning		SatRank · Sovereign trust oracle for Lightning
1485188	bitcoin_Mining	1	21	0	0	3.3	263526	326	recent@bitcoin_Mining|top@bitcoin_Mining		Build & Configure DATUM Gateway for Bitcoin Mining 2026 (on Ubuntu)
1484667	lightning	1	21	0	1	25.0	699824	149	recent@lightning		🎥: Matteo Pellegrini (Club Orange) on Bitcoin IRL
1484486	security	1	21	0	0	30.2	297791	7486	recent@security		Critical Apache HTTP Server Flaw Exposes Millions of Servers to RCE Attacks
1484850	devs	1	21	0	0	20.6	140698	1040	recent@devs|top@devs		Most Developers Have Never Built Anything Real — The Numbers Are Embarrassing
1485068	bitcoin_Mining	1	0	0	5	7.0	280679	21189	recent@bitcoin_Mining|top@bitcoin_Mining		Colombian president seeks to transform the Caribbean into bitcoin mining hub
1484585	security	1	0	0	0	27.1	280679	21189	recent@security		Google now offers up to $1.5 million for some Android exploits
1485248	AI	1	0	0	0	1.8	280679	21189	recent@devs|top@devs|recent@AI	FRESH	Ruby inventor Matz working on native compiler with AI help
1485235	AI	1	0	0	0	2.3	401865	7997	recent@AI|top@AI		Nvidia, Corning Partner on Massive Optical Fiber Deal A Game Changer for AI
1484947	AI	1	0	0	0	15.9	1093345	11	recent@AI|top@AI		AI is not killing our humanity. The system already did.- YouTube
